Date,Open,High,Low,Close,Adj Close,Volume,Adj_Close,MA50,MA200,Returns,Volatility,MA20,Upper,Lower
2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,21056800,,,,,,,,
2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,34483200,,,,0.4802717382356246,,,,
2014-09-19,424.102997,427.834991,384.532013,394.79599,394.79599,37919700,,,,0.48360887850791345,,,,
2014-09-20,394.673004,423.29599,389.882996,408.903992,408.903992,36863600,,,,0.652758397380891,,,,
2014-09-21,408.084991,412.425995,393.181,398.821014,398.821014,26580100,,,,0.5559999085664695,,,,
2014-09-22,399.100006,406.915985,397.130005,402.152008,402.152008,24127600,,,,0.6088874283448327,,,,
2014-09-23,402.09201,441.557007,396.196991,435.790985,435.790985,45099500,,,,0.7295206972467461,,,,
2014-09-24,435.751007,436.112,421.131989,423.204987,423.204987,30627700,,,,0.5492352665196902,,,,
2014-09-25,423.156006,423.519989,409.467987,411.574005,411.574005,26814400,,,,0.5514746030832525,,,,
2014-09-26,411.428986,414.937988,400.009003,404.424988,404.424988,21460800,,,,0.5676772358487898,,,,
2014-09-27,403.556,406.622986,397.372009,399.519989,399.519989,15029300,,,,0.5760750109296219,,,,
2014-09-28,399.471008,401.016998,374.332001,377.181,377.181,23613300,,,,0.5059235327430329,,,,
2014-09-29,376.928009,385.210999,372.23999,375.46701,375.46701,32497700,,,,0.5882257917179219,,,,
2014-09-30,376.088013,390.97699,373.442993,386.944,386.944,34707300,,,,0.6444790794182333,,,,
2014-10-01,387.427002,391.378998,380.779999,383.61499,383.61499,26229400,,,,0.5817225216612084,,,,
2014-10-02,383.988007,385.497009,372.946014,375.071991,375.071991,21777700,,,,0.5598271285621698,,,,
2014-10-03,375.181,377.695007,357.859009,359.511993,359.511993,30901200,,,,0.5290410731937241,,,,
2014-10-04,359.891998,364.487,325.885986,328.865997,328.865997,47236500,,,,0.4589349141479888,,,,
2014-10-05,328.915985,341.800995,289.29599,320.51001,320.51001,83308096,,,,0.5547984041530842,,,,
2014-10-06,320.389008,345.134003,302.559998,330.07901,330.07901,79011800,,,,0.6433388436144157,,0.002598848823255277,,
2014-10-07,330.584015,339.247009,320.481995,336.187012,336.187012,49199900,,,,0.6251532076544506,,0.0025025826525344893,,
2014-10-08,336.115997,354.364014,327.187988,352.940002,352.940002,54736300,,,,0.6753443951313567,,0.002445767122343153,,
2014-10-09,352.747986,382.726013,347.687012,365.026001,365.026001,83641104,,,,0.6503693906093135,,0.0024221112103316113,,
2014-10-10,364.687012,375.066986,352.963013,361.562012,361.562012,43665700,,,,0.5803024421748475,,0.0023844921936322047,,
2014-10-11,361.362,367.19101,355.950989,362.299011,362.299011,13345200,,,,0.5987719838753878,,0.0023554709773511615,,
2014-10-12,362.605988,379.433014,356.144012,378.549011,378.549011,17552800,,,,0.6673659245744097,,0.0023367154977894902,,
2014-10-13,377.92099,397.226013,368.897003,390.414001,390.414001,35221400,,,,0.6457224958507415,,0.002300657911713354,,
2014-10-14,391.691986,411.697998,391.324005,400.869995,400.869995,38491500,,,,0.6384143116072836,,0.002282910017835043,,
2014-10-15,400.954987,402.22699,388.765991,394.77301,394.77301,25267100,,,,0.5711387460254438,,0.0022695595641473915,,
2014-10-16,394.518005,398.807007,373.070007,382.556,382.556,26990000,,,,0.5459250790962674,,0.0022521819676723158,,
2014-10-17,382.756012,385.477997,375.389008,383.757996,383.757996,13600700,,,,0.6005401612393212,,0.002239657128662985,,
2014-10-18,383.976013,395.15799,378.971008,391.441986,391.441986,11416800,,,,0.6275857982955871,,0.002250989233287338,,
2014-10-19,391.253998,393.938995,386.457001,389.54599,389.54599,5914570,,,,0.5877460987850665,,0.0022621767117943768,,
2014-10-20,389.230988,390.084015,378.252014,382.845001,382.845001,16419000,,,,0.567946225549382,,0.0022589195537322947,,
2014-10-21,382.42099,392.645996,380.834015,386.475006,386.475006,14188900,,,,0.6106971273007672,,0.002261192187653914,,
2014-10-22,386.118011,388.575989,382.248993,383.15799,383.15799,11641300,,,,0.5817555161141659,,0.002267617506819111,,
2014-10-23,382.962006,385.048004,356.446991,358.416992,358.416992,26456900,,,,0.49205433218741185,,0.00226674739405862,,
2014-10-24,358.591003,364.345001,353.304993,358.345001,358.345001,15585700,,,,0.5951844295357696,,0.00229017208275474,,
2014-10-25,358.610992,359.860992,342.877014,347.270996,347.270996,18127500,,,,0.5459951394737881,,0.0023114369723775782,,
2014-10-26,347.487,359.221008,343.931,354.70401,354.70401,11272500,,,,0.6297984497886627,,0.002331004558824594,,
2014-10-27,354.777008,358.631989,349.80899,352.989014,352.989014,13033000,,,,0.5877598987013668,,0.002344355812697403,,
2014-10-28,353.214996,359.984009,352.678986,357.618011,357.618011,7845880,,,,0.6165161734276581,,0.002348073065306842,,
2014-10-29,357.088989,357.833008,335.342987,335.591003,335.591003,18192700,,,,0.49682483956397655,,0.0023246833447816543,,
2014-10-30,335.709015,350.912994,335.071991,345.304993,345.304993,30177900,,,,0.6418815050320658,,0.0023117651468261917,,
2014-10-31,345.009003,348.045013,337.141998,338.321014,338.321014,12545400,,,,0.5631021879753662,,0.0022927116837145657,,
2014-11-01,338.649994,340.528992,321.054993,325.748993,325.748993,16677200,,,,0.5359708330637977,,0.0022507555855777526,,
2014-11-02,326.075012,329.049988,320.626007,325.891998,325.891998,8603620,,,,0.5962095747297217,,0.002199484930900103,,
2014-11-03,325.569,334.002014,325.480988,327.553986,327.553986,12948500,,,,0.6036768198466107,,0.0021412263585525817,,
2014-11-04,327.161011,331.766998,325.076996,330.492004,330.492004,15655500,,,,0.6098766926778569,,0.002090147205585835,,
2014-11-05,330.683014,343.368988,330.683014,339.485992,339.485992,19817200,,0.0023197351595002583,,0.6391066330016565,,0.002055922795238071,,
2014-11-06,339.458008,352.966003,338.424011,349.290009,349.290009,18797000,,0.002284059121481429,,0.641774296598075,0.3430526331492111,0.002028533746901945,0.0020277172839315793,0.0020293502084691483
